NO_OF_FRAMES	250
NO_OF_CAMERAS	7
NO_OF_MARKERS	1
FREQUENCY	250
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-02-07, 11:22:15	9797.78755972
DATA_INCLUDED	3D
MARKER_NAMES	?
-12.465	112.145	-17.844
-12.353	112.080	-17.971
-12.380	112.132	-17.894
-11.953	111.754	-18.143
-11.911	111.757	-18.169
-11.955	111.836	-18.216
-11.867	111.712	-18.159
-11.955	111.904	-18.078
-11.917	111.864	-18.289
-11.937	111.732	-18.316
-11.847	111.791	-18.142
-11.847	111.713	-18.320
-11.976	111.667	-18.159
-11.950	111.816	-18.198
-11.890	111.823	-18.289
-11.875	111.697	-18.292
-11.955	111.659	-18.145
-11.896	111.728	-18.277
-11.870	111.760	-18.257
-11.927	111.745	-18.310
-11.873	111.742	-18.187
-11.929	111.748	-18.143
-11.806	111.673	-18.218
-11.821	111.767	-18.190
-11.813	111.552	-18.516
-11.828	111.444	-18.439
-11.819	111.601	-18.442
-11.762	111.553	-18.344
-11.813	111.701	-18.192
-11.893	111.694	-18.225
-11.813	111.710	-18.342
-11.798	111.442	-18.390
-11.803	111.650	-18.393
-11.766	111.609	-18.294
-11.840	111.520	-18.274
-11.841	111.521	-18.225
-11.777	111.565	-18.326
-11.806	111.479	-18.487
-11.842	111.545	-18.354
-11.833	111.695	-18.326
-11.762	111.654	-18.288
-11.801	111.649	-18.191
-11.792	111.559	-18.348
-11.765	111.420	-18.396
-11.843	111.583	-18.258
-11.674	111.732	-18.120
-11.819	111.616	-18.334
-11.817	111.642	-18.156
-11.783	111.610	-18.266
-11.826	111.450	-18.421
-11.801	111.601	-18.306
-11.840	111.422	-18.423
-11.744	111.428	-18.467
-11.754	111.443	-18.463
-11.782	111.593	-18.414
-11.779	111.657	-18.336
-11.803	111.507	-18.346
-11.809	111.648	-18.222
-11.634	111.402	-18.401
-11.722	111.362	-18.408
-11.852	111.707	-18.293
-11.823	111.638	-18.465
-11.815	111.559	-18.314
-11.825	111.490	-18.284
-11.842	111.667	-18.459
-11.783	111.562	-18.446
-11.756	111.486	-18.391
-11.835	111.638	-18.295
-11.768	111.493	-18.502
-11.771	111.524	-18.329
-11.701	111.536	-18.274
-11.797	111.604	-18.538
-11.873	111.430	-18.469
-11.778	111.578	-18.485
-11.906	111.594	-18.135
-11.899	111.580	-18.447
-11.784	111.623	-18.361
-11.786	111.523	-18.302
-11.808	111.602	-18.350
-11.754	111.461	-18.424
-11.690	111.515	-18.414
-11.705	111.649	-18.202
-11.733	111.498	-18.362
-11.836	111.656	-18.434
-11.846	111.654	-18.306
-11.675	111.451	-18.360
-11.777	111.519	-18.269
-11.751	111.520	-18.422
-11.760	111.418	-18.226
-11.793	111.686	-18.382
-11.833	111.678	-18.277
-11.795	111.450	-18.475
-11.841	111.649	-18.242
-11.729	111.406	-18.420
-11.774	111.444	-18.504
-11.787	111.612	-18.646
-11.856	111.534	-18.269
-11.816	111.484	-18.449
-11.771	111.549	-18.463
-11.730	111.575	-18.280
-11.766	111.442	-18.561
-11.827	111.575	-18.349
-11.749	111.488	-18.375
-11.878	111.567	-18.356
-11.744	111.695	-18.170
-11.771	111.528	-18.389
-11.695	111.473	-18.349
-11.785	111.533	-18.356
-11.745	111.614	-18.361
-11.755	111.652	-18.422
-11.867	111.617	-18.461
-11.818	111.488	-18.646
-11.715	111.534	-18.326
-11.735	111.518	-18.429
-11.794	111.531	-18.522
-11.712	111.675	-18.326
-11.859	111.590	-18.356
-11.721	111.638	-18.366
-11.769	111.613	-18.229
-11.822	111.541	-18.451
-11.825	111.598	-18.418
-11.728	111.564	-18.499
-11.672	111.401	-18.410
-11.764	111.699	-18.221
-11.858	111.518	-18.415
-11.767	111.618	-18.341
-11.776	111.617	-18.335
-11.811	111.523	-18.484
-11.681	111.581	-18.466
-11.908	111.569	-18.613
-11.743	111.501	-18.279
-11.754	111.581	-18.257
-11.696	111.514	-18.507
-11.738	111.559	-18.391
-11.689	111.550	-18.414
